id,account,active,booked,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination,active_to_booked,days
f1ij2f2opl,2013-01-03,2013-01-03,2013-01-30,MALE,53.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,other,27 days 00:00:00.000000000,27.0
v3gsx3f36o,2013-01-03,2013-01-03,2013-01-10,MALE,38.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,7 days 00:00:00.000000000,7.0
o97787qwr6,2013-01-03,2013-01-03,2013-01-05,FEMALE,26.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,2 days 00:00:00.000000000,2.0
rgyrmscps4,2013-01-03,2013-01-03,2013-01-04,FEMALE,34.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,US,1 days 00:00:00.000000000,1.0
o9d8mejffl,2013-01-03,2013-01-03,2013-01-15,FEMALE,53.0,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,IT,12 days 00:00:00.000000000,12.0
l8ua367xwn,2013-01-03,2013-01-03,2013-11-30,FEMALE,32.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,331 days 00:00:00.000000000,331.0
ys08819e8e,2013-01-03,2013-01-03,2013-01-03,FEMALE,30.0,facebook,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US,0 days 00:00:00.000000000,0.0
o1sk03rt58,2013-01-04,2013-01-04,2013-01-07,MALE,51.0,basic,0,en,sem-non-brand,google,omg,Web,Desktop (Other),Chrome,US,3 days 00:00:00.000000000,3.0
z5d12nbxue,2013-01-04,2013-01-04,2013-01-04,MALE,59.0,basic,0,en,sem-non-brand,google,omg,Web,Windows Desktop,Chrome,other,0 days 00:00:00.000000000,0.0
j3sn64w1ra,2013-01-04,2013-01-04,2013-06-14,FEMALE,51.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,161 days 00:00:00.000000000,161.0
3yw0ggbe80,2013-01-04,2013-01-04,2013-01-11,FEMALE,47.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,7 days 00:00:00.000000000,7.0
un7vn0jyuw,2013-01-04,2013-01-04,2013-01-06,FEMALE,34.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,FR,2 days 00:00:00.000000000,2.0
3wwii297jl,2013-01-04,2013-01-04,2013-04-16,FEMALE,25.0,facebook,0,en,other,other,tracked-other,Web,Mac Desktop,Chrome,US,102 days 00:00:00.000000000,102.0
j96l8vleh3,2013-01-04,2013-01-04,2013-01-10,FEMALE,45.0,facebook,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Safari,other,6 days 00:00:00.000000000,6.0
w1oy7thbsw,2013-01-04,2013-01-04,2013-06-23,FEMALE,76.0,basic,0,en,content,gsp,omg,Web,Windows Desktop,IE,US,170 days 00:00:00.000000000,170.0
2fh51jilpd,2013-01-04,2013-01-04,2013-01-31,FEMALE,56.0,basic,0,en,sem-brand,google,linked,Web,Mac Desktop,Safari,GB,27 days 00:00:00.000000000,27.0
rt4z5z8y40,2013-01-04,2013-01-04,2013-01-05,MALE,42.0,facebook,0,en,other,other,tracked-other,Web,Windows Desktop,Firefox,US,1 days 00:00:00.000000000,1.0
w6il7przzc,2013-01-04,2013-01-04,2013-03-21,FEMALE,68.0,facebook,0,en,direct,direct,omg,Web,Mac Desktop,Safari,IT,76 days 00:00:00.000000000,76.0
acwrf50tkh,2013-01-04,2013-01-04,2013-01-13,FEMALE,41.0,basic,0,en,sem-brand,google,omg,Web,iPhone,Mobile Safari,FR,9 days 00:00:00.000000000,9.0
g01469psio,2013-01-04,2013-01-04,2013-01-04,FEMALE,86.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,IE,US,0 days 00:00:00.000000000,0.0
2y7nq8e4hj,2013-01-04,2013-01-04,2013-01-05,MALE,39.0,basic,0,en,direct,direct,tracked-other,Web,Windows Desktop,Chrome,other,1 days 00:00:00.000000000,1.0
i1167gc5mt,2013-01-04,2013-01-04,2013-03-04,FEMALE,57.0,basic,0,en,sem-non-brand,vast,omg,Web,Windows Desktop,IE,other,59 days 00:00:00.000000000,59.0
gflwwj3i3e,2013-01-05,2013-01-05,2013-01-17,FEMALE,30.0,basic,0,en,direct,direct,product,Web,Mac Desktop,Chrome,US,12 days 00:00:00.000000000,12.0
fsdzzf52wn,2013-01-05,2013-01-05,2013-01-05,MALE,78.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US,0 days 00:00:00.000000000,0.0
9eggfw68hb,2013-01-05,2013-01-05,2013-01-06,FEMALE,29.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US,1 days 00:00:00.000000000,1.0
v1o7ay960h,2013-01-05,2013-01-05,2013-02-05,FEMALE,27.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,US,31 days 00:00:00.000000000,31.0
oc2cvx9aqs,2013-01-05,2013-01-05,2013-02-04,FEMALE,25.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,30 days 00:00:00.000000000,30.0
wesennupe7,2013-01-05,2013-01-05,2013-01-05,MALE,27.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,other,0 days 00:00:00.000000000,0.0
69fl3uoc99,2013-01-05,2013-01-05,2013-01-06,FEMALE,34.0,facebook,0,en,other,other,tracked-other,Web,Windows Desktop,Firefox,US,1 days 00:00:00.000000000,1.0
cszmm8c2cu,2013-01-05,2013-01-05,2013-01-05,MALE,45.0,facebook,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Firefox,US,0 days 00:00:00.000000000,0.0
ye0f0j6qkc,2013-01-05,2013-01-05,2013-07-14,FEMALE,35.0,facebook,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US,190 days 00:00:00.000000000,190.0
b9im8ny71l,2013-01-05,2013-01-05,2013-01-09,FEMALE,21.0,facebook,0,en,other,other,linked,Web,Mac Desktop,Safari,GB,4 days 00:00:00.000000000,4.0
rvpv3masc3,2013-01-05,2013-01-05,2013-01-05,FEMALE,37.0,basic,0,en,direct,direct,omg,Web,iPad,Mobile Safari,US,0 days 00:00:00.000000000,0.0
1kav8kxsyf,2013-01-05,2013-01-05,2013-01-05,MALE,56.0,basic,0,en,sem-brand,google,linked,Web,Windows Desktop,Chrome,ES,0 days 00:00:00.000000000,0.0
dbplja2zt4,2013-01-05,2013-01-05,2013-01-05,MALE,27.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,0 days 00:00:00.000000000,0.0
nnv3052nw1,2013-01-05,2013-01-05,2013-01-06,FEMALE,25.0,facebook,0,en,seo,google,linked,Web,Mac Desktop,Firefox,FR,1 days 00:00:00.000000000,1.0
2z60cdi0lo,2013-01-05,2013-01-05,2013-01-22,MALE,32.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US,17 days 00:00:00.000000000,17.0
f67u45lczg,2013-01-05,2013-01-05,2013-01-05,MALE,28.0,basic,0,en,direct,direct,omg,Web,Windows Desktop,Chrome,US,0 days 00:00:00.000000000,0.0
635fd0z3mx,2013-01-05,2013-01-05,2013-01-28,FEMALE,47.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US,23 days 00:00:00.000000000,23.0
a9a7aaerjj,2013-01-05,2013-01-05,2013-01-07,MALE,28.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,2 days 00:00:00.000000000,2.0
kui51siy2t,2013-01-05,2013-01-05,2013-01-26,MALE,25.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,other,21 days 00:00:00.000000000,21.0
ygyjbta9j4,2013-01-06,2013-01-06,2013-09-16,MALE,37.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US,253 days 00:00:00.000000000,253.0
bs052dhhny,2013-01-06,2013-01-06,2013-01-06,FEMALE,22.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,0 days 00:00:00.000000000,0.0
uk9lgpn1aj,2013-01-06,2013-01-06,2013-01-10,FEMALE,35.0,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,FR,4 days 00:00:00.000000000,4.0
jb2ve40jel,2013-01-06,2013-01-06,2013-01-06,MALE,49.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,0 days 00:00:00.000000000,0.0
6ed4w83m9c,2013-01-06,2013-01-06,2013-01-27,MALE,26.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,FR,21 days 00:00:00.000000000,21.0
xr4lepvki4,2013-01-06,2013-01-06,2014-01-03,FEMALE,33.0,basic,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US,362 days 00:00:00.000000000,362.0
zucz37ljiw,2013-01-06,2013-01-06,2013-05-21,FEMALE,38.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,IE,US,135 days 00:00:00.000000000,135.0
jykatu8s4n,2013-01-06,2013-01-06,2013-01-06,FEMALE,29.0,facebook,0,en,sem-brand,google,linked,Web,Mac Desktop,Safari,US,0 days 00:00:00.000000000,0.0
a16kex0zdf,2013-01-06,2013-01-06,2013-01-08,FEMALE,67.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,other,2 days 00:00:00.000000000,2.0
hbr89ezdmd,2013-01-06,2013-01-06,2013-01-07,FEMALE,41.0,basic,0,en,other,other,tracked-other,Web,Mac Desktop,Safari,US,1 days 00:00:00.000000000,1.0
90yi5hvoai,2013-01-06,2013-01-06,2013-02-13,MALE,25.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,38 days 00:00:00.000000000,38.0
otncp013xv,2013-01-06,2013-01-06,2013-01-09,FEMALE,32.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,3 days 00:00:00.000000000,3.0
l1crunezu0,2013-01-06,2013-01-06,2013-10-10,FEMALE,33.0,facebook,0,en,sem-brand,google,tracked-other,Web,Mac Desktop,Safari,IT,277 days 00:00:00.000000000,277.0
b0vpgbsqo6,2013-01-06,2013-01-06,2013-02-03,FEMALE,40.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,IE,FR,28 days 00:00:00.000000000,28.0
os2vw9uz0v,2013-01-06,2013-01-06,2013-01-07,MALE,46.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US,1 days 00:00:00.000000000,1.0
fc5sej36kn,2013-01-07,2013-01-07,2013-01-13,FEMALE,28.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,FR,6 days 00:00:00.000000000,6.0
w7fopye82b,2013-01-07,2013-01-07,2013-09-08,FEMALE,31.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,244 days 00:00:00.000000000,244.0
mh5dkcirzr,2013-01-07,2013-01-07,2013-01-16,MALE,47.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,9 days 00:00:00.000000000,9.0
80wvb1lyus,2013-01-07,2013-01-07,2013-01-13,FEMALE,27.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,6 days 00:00:00.000000000,6.0
bt0i5egf63,2013-01-07,2013-01-07,2013-01-28,FEMALE,31.0,facebook,0,en,sem-brand,google,linked,Web,Mac Desktop,Firefox,US,21 days 00:00:00.000000000,21.0
6g6kfsoqdq,2013-01-07,2013-01-07,2013-01-08,FEMALE,35.0,facebook,0,en,seo,yahoo,linked,Web,iPhone,Mobile Safari,US,1 days 00:00:00.000000000,1.0
ip374pig4e,2013-01-07,2013-01-07,2013-01-09,MALE,38.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,US,2 days 00:00:00.000000000,2.0
xgwirm9ie0,2013-01-07,2013-01-07,2013-01-08,FEMALE,60.0,facebook,0,en,seo,yahoo,linked,Web,Mac Desktop,Safari,US,1 days 00:00:00.000000000,1.0
3kxcyh4t1a,2013-01-07,2013-01-07,2013-05-22,MALE,51.0,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,IE,IT,135 days 00:00:00.000000000,135.0
olrvuw29ll,2013-01-07,2013-01-07,2013-01-10,FEMALE,32.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,FR,3 days 00:00:00.000000000,3.0
d2h948v8c9,2013-01-07,2013-01-07,2013-07-09,FEMALE,27.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,CA,183 days 00:00:00.000000000,183.0
1jhfnwgk50,2013-01-07,2013-01-07,2013-01-16,MALE,40.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US,9 days 00:00:00.000000000,9.0
xb1nyll5v1,2013-01-07,2013-01-07,2013-01-07,FEMALE,29.0,facebook,0,en,other,other,omg,Web,Windows Desktop,Firefox,other,0 days 00:00:00.000000000,0.0
divfve9psj,2013-01-07,2013-01-07,2013-04-29,MALE,53.0,facebook,0,en,content,facebook,omg,Web,Windows Desktop,Chrome,US,112 days 00:00:00.000000000,112.0
c4w6jm80bo,2013-01-07,2013-01-07,2013-01-22,FEMALE,28.0,facebook,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US,15 days 00:00:00.000000000,15.0
djzvr38y8y,2013-01-07,2013-01-07,2013-01-21,FEMALE,62.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,other,14 days 00:00:00.000000000,14.0
d3g0horf55,2013-01-07,2013-01-07,2013-01-09,FEMALE,40.0,facebook,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US,2 days 00:00:00.000000000,2.0
ye1py7qbme,2013-01-07,2013-01-07,2013-01-07,MALE,42.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,0 days 00:00:00.000000000,0.0
mwompbpymo,2013-01-07,2013-01-07,2013-07-18,MALE,32.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,192 days 00:00:00.000000000,192.0
hb6arqzko0,2013-01-07,2013-01-07,2013-01-15,MALE,68.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,other,8 days 00:00:00.000000000,8.0
vdbo735w7t,2013-01-07,2013-01-07,2013-01-07,MALE,42.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,0 days 00:00:00.000000000,0.0
pjk87wnwuz,2013-01-07,2013-01-07,2013-04-06,FEMALE,48.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,FR,89 days 00:00:00.000000000,89.0
j28xf5d1wu,2013-01-07,2013-01-07,2013-01-16,MALE,32.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,9 days 00:00:00.000000000,9.0
m3scasnrtg,2013-01-07,2013-01-07,2013-01-10,FEMALE,26.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,3 days 00:00:00.000000000,3.0
7xrki70w9l,2013-01-07,2013-01-07,2013-01-08,FEMALE,37.0,facebook,0,en,direct,direct,tracked-other,Web,Mac Desktop,Firefox,US,1 days 00:00:00.000000000,1.0
3zwe953kgh,2013-01-07,2013-01-07,2013-01-07,FEMALE,19.0,basic,12,en,api,other,linked,iOS,Mac Desktop,Safari,FR,0 days 00:00:00.000000000,0.0
dl90n1ty4m,2013-01-07,2013-01-07,2013-01-11,FEMALE,31.0,basic,0,it,direct,direct,linked,Web,Mac Desktop,Safari,GB,4 days 00:00:00.000000000,4.0
78ved4proc,2013-01-08,2013-01-08,2013-01-20,FEMALE,34.0,facebook,0,en,sem-brand,google,tracked-other,Web,Mac Desktop,Safari,FR,12 days 00:00:00.000000000,12.0
mv57qgkgqj,2013-01-08,2013-01-08,2013-01-08,MALE,21.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,0 days 00:00:00.000000000,0.0
fczz903tol,2013-01-08,2013-01-08,2013-01-10,MALE,52.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,other,2 days 00:00:00.000000000,2.0
9xsegehf6c,2013-01-08,2013-01-08,2013-01-11,MALE,24.0,basic,12,en,api,other,linked,Moweb,Mac Desktop,Chrome,US,3 days 00:00:00.000000000,3.0
edn1ir0m8x,2013-01-08,2013-01-08,2013-01-08,FEMALE,38.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,0 days 00:00:00.000000000,0.0
jfzqyufher,2013-01-08,2013-01-08,2013-01-27,FEMALE,44.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,19 days 00:00:00.000000000,19.0
3w0b9u0jk0,2013-01-08,2013-01-08,2013-01-08,MALE,25.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,0 days 00:00:00.000000000,0.0
dswcsv75rh,2013-01-08,2013-01-08,2013-01-10,FEMALE,31.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US,2 days 00:00:00.000000000,2.0
kcu9cwmj9l,2013-01-08,2013-01-08,2013-01-08,MALE,36.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,0 days 00:00:00.000000000,0.0
glrbfgu4q9,2013-01-08,2013-01-08,2013-01-09,MALE,33.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US,1 days 00:00:00.000000000,1.0
tr9cwcvx7h,2013-01-08,2013-01-08,2013-02-05,FEMALE,31.0,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,GB,28 days 00:00:00.000000000,28.0
ryi4k1pzwd,2013-01-08,2013-01-08,2013-01-09,MALE,26.0,basic,12,en,api,other,omg,iOS,Windows Desktop,IE,US,1 days 00:00:00.000000000,1.0
wn1drr1p6w,2013-01-08,2013-01-08,2013-01-16,FEMALE,34.0,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,DE,8 days 00:00:00.000000000,8.0
9xppodh7fp,2013-01-08,2013-01-08,2013-05-19,MALE,28.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,131 days 00:00:00.000000000,131.0
jhl98zewl3,2013-01-08,2013-01-08,2013-01-09,FEMALE,27.0,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,AU,1 days 00:00:00.000000000,1.0
1bf7kma836,2013-01-08,2013-01-08,2013-10-08,MALE,37.0,basic,12,en,api,other,linked,Moweb,Mac Desktop,Firefox,US,273 days 00:00:00.000000000,273.0
pvx8d94lfq,2013-01-09,2013-01-09,2013-01-09,MALE,29.0,facebook,0,en,direct,direct,linked,Web,Desktop (Other),Firefox,US,0 days 00:00:00.000000000,0.0
u11sw4z1c3,2013-01-09,2013-01-09,2013-10-28,MALE,39.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US,292 days 00:00:00.000000000,292.0
1mquzw4f7s,2013-01-09,2013-01-09,2013-02-21,FEMALE,30.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,US,43 days 00:00:00.000000000,43.0
f1xyj0ci2d,2013-01-09,2013-01-09,2013-01-10,FEMALE,33.0,facebook,0,en,other,other,linked,Web,Mac Desktop,Chrome,US,1 days 00:00:00.000000000,1.0
r55ixy6vyk,2013-01-09,2013-01-09,2013-03-10,MALE,27.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US,60 days 00:00:00.000000000,60.0
dwgumguav0,2013-01-09,2013-01-09,2013-01-09,MALE,64.0,facebook,0,en,sem-brand,google,linked,Web,Windows Desktop,Firefox,US,0 days 00:00:00.000000000,0.0
iczq7m980p,2013-01-09,2013-01-09,2013-04-11,FEMALE,30.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,FR,92 days 00:00:00.000000000,92.0
esrsa0fjzy,2013-01-09,2013-01-09,2013-01-10,FEMALE,36.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US,1 days 00:00:00.000000000,1.0
m61vmtt8mj,2013-01-09,2013-01-09,2013-01-12,FEMALE,28.0,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,GB,3 days 00:00:00.000000000,3.0
wdbxx1mh1s,2013-01-09,2013-01-09,2013-01-10,MALE,24.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US,1 days 00:00:00.000000000,1.0
w9jlvo6opw,2013-06-11,2013-01-09,2013-06-13,MALE,38.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,GB,155 days 00:00:00.000000000,155.0
flsqow5xzw,2013-01-09,2013-01-09,2013-05-14,MALE,46.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,other,125 days 00:00:00.000000000,125.0
oe4k4830va,2013-01-09,2013-01-09,2013-01-11,FEMALE,36.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US,2 days 00:00:00.000000000,2.0
a8qr2p1q27,2013-01-09,2013-01-09,2013-10-17,FEMALE,56.0,facebook,0,en,sem-non-brand,google,linked,Web,Windows Desktop,Firefox,GB,281 days 00:00:00.000000000,281.0
spit95qy29,2013-01-09,2013-01-09,2013-01-10,FEMALE,37.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,US,1 days 00:00:00.000000000,1.0
