id,account,active,booked,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
9eggfw68hb,2013-01-05:00:00:00,2013-01-05:02:09:11,2013-01-06:00:00:00,FEMALE,29.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
v1o7ay960h,2013-01-05:00:00:00,2013-01-05:02:38:16,2013-02-05:00:00:00,FEMALE,27.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,US
oc2cvx9aqs,2013-01-05:00:00:00,2013-01-05:03:26:51,2013-02-04:00:00:00,FEMALE,25.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
wesennupe7,2013-01-05:00:00:00,2013-01-05:05:09:11,2013-01-05:00:00:00,MALE,27.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,other
69fl3uoc99,2013-01-05:00:00:00,2013-01-05:05:18:10,2013-01-06:00:00:00,FEMALE,34.0,facebook,0,en,other,other,tracked-other,Web,Windows Desktop,Firefox,US
cszmm8c2cu,2013-01-05:00:00:00,2013-01-05:07:30:35,2013-01-05:00:00:00,MALE,45.0,facebook,0,en,sem-non-brand,google,omg,Web,Mac Desktop,Firefox,US
ye0f0j6qkc,2013-01-05:00:00:00,2013-01-05:08:46:13,2013-07-14:00:00:00,FEMALE,35.0,facebook,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US
b9im8ny71l,2013-01-05:00:00:00,2013-01-05:11:41:47,2013-01-09:00:00:00,FEMALE,21.0,facebook,0,en,other,other,linked,Web,Mac Desktop,Safari,GB
rvpv3masc3,2013-01-05:00:00:00,2013-01-05:16:15:50,2013-01-05:00:00:00,FEMALE,37.0,basic,0,en,direct,direct,omg,Web,iPad,Mobile Safari,US
1kav8kxsyf,2013-01-05:00:00:00,2013-01-05:17:43:31,2013-01-05:00:00:00,MALE,56.0,basic,0,en,sem-brand,google,linked,Web,Windows Desktop,Chrome,ES
dbplja2zt4,2013-01-05:00:00:00,2013-01-05:17:59:07,2013-01-05:00:00:00,MALE,27.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
nnv3052nw1,2013-01-05:00:00:00,2013-01-05:18:13:16,2013-01-06:00:00:00,FEMALE,25.0,facebook,0,en,seo,google,linked,Web,Mac Desktop,Firefox,FR
2z60cdi0lo,2013-01-05:00:00:00,2013-01-05:18:56:41,2013-01-22:00:00:00,MALE,32.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
f67u45lczg,2013-01-05:00:00:00,2013-01-05:19:40:57,2013-01-05:00:00:00,MALE,28.0,basic,0,en,direct,direct,omg,Web,Windows Desktop,Chrome,US
635fd0z3mx,2013-01-05:00:00:00,2013-01-05:21:56:07,2013-01-28:00:00:00,FEMALE,47.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US
a9a7aaerjj,2013-01-05:00:00:00,2013-01-05:23:33:27,2013-01-07:00:00:00,MALE,28.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
kui51siy2t,2013-01-05:00:00:00,2013-01-05:23:54:41,2013-01-26:00:00:00,MALE,25.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,other
ygyjbta9j4,2013-01-06:00:00:00,2013-01-06:00:02:25,2013-09-16:00:00:00,MALE,37.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US
bs052dhhny,2013-01-06:00:00:00,2013-01-06:00:17:12,2013-01-06:00:00:00,FEMALE,22.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
uk9lgpn1aj,2013-01-06:00:00:00,2013-01-06:02:47:07,2013-01-10:00:00:00,FEMALE,35.0,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,FR
jb2ve40jel,2013-01-06:00:00:00,2013-01-06:03:52:17,2013-01-06:00:00:00,MALE,49.0,basic,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
6ed4w83m9c,2013-01-06:00:00:00,2013-01-06:04:29:24,2013-01-27:00:00:00,MALE,26.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,FR
xr4lepvki4,2013-01-06:00:00:00,2013-01-06:05:17:07,2014-01-03:00:00:00,FEMALE,33.0,basic,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US
zucz37ljiw,2013-01-06:00:00:00,2013-01-06:07:46:28,2013-05-21:00:00:00,FEMALE,38.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,IE,US
jykatu8s4n,2013-01-06:00:00:00,2013-01-06:08:55:58,2013-01-06:00:00:00,FEMALE,29.0,facebook,0,en,sem-brand,google,linked,Web,Mac Desktop,Safari,US
a16kex0zdf,2013-01-06:00:00:00,2013-01-06:09:32:53,2013-01-08:00:00:00,FEMALE,67.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,other
hbr89ezdmd,2013-01-06:00:00:00,2013-01-06:13:44:15,2013-01-07:00:00:00,FEMALE,41.0,basic,0,en,other,other,tracked-other,Web,Mac Desktop,Safari,US
90yi5hvoai,2013-01-06:00:00:00,2013-01-06:14:19:45,2013-02-13:00:00:00,MALE,25.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
otncp013xv,2013-01-06:00:00:00,2013-01-06:20:09:23,2013-01-09:00:00:00,FEMALE,32.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
l1crunezu0,2013-01-06:00:00:00,2013-01-06:21:44:15,2013-10-10:00:00:00,FEMALE,33.0,facebook,0,en,sem-brand,google,tracked-other,Web,Mac Desktop,Safari,IT
b0vpgbsqo6,2013-01-06:00:00:00,2013-01-06:22:07:15,2013-02-03:00:00:00,FEMALE,40.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,IE,FR
os2vw9uz0v,2013-01-06:00:00:00,2013-01-06:23:44:33,2013-01-07:00:00:00,MALE,46.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
fc5sej36kn,2013-01-07:00:00:00,2013-01-07:00:17:20,2013-01-13:00:00:00,FEMALE,28.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,FR
w7fopye82b,2013-01-07:00:00:00,2013-01-07:02:29:34,2013-09-08:00:00:00,FEMALE,31.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
mh5dkcirzr,2013-01-07:00:00:00,2013-01-07:03:59:58,2013-01-16:00:00:00,MALE,47.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
80wvb1lyus,2013-01-07:00:00:00,2013-01-07:04:37:31,2013-01-13:00:00:00,FEMALE,27.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
bt0i5egf63,2013-01-07:00:00:00,2013-01-07:05:18:58,2013-01-28:00:00:00,FEMALE,31.0,facebook,0,en,sem-brand,google,linked,Web,Mac Desktop,Firefox,US
6g6kfsoqdq,2013-01-07:00:00:00,2013-01-07:05:25:29,2013-01-08:00:00:00,FEMALE,35.0,facebook,0,en,seo,yahoo,linked,Web,iPhone,Mobile Safari,US
ip374pig4e,2013-01-07:00:00:00,2013-01-07:05:30:55,2013-01-09:00:00:00,MALE,38.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,US
xgwirm9ie0,2013-01-07:00:00:00,2013-01-07:05:49:03,2013-01-08:00:00:00,FEMALE,60.0,facebook,0,en,seo,yahoo,linked,Web,Mac Desktop,Safari,US
3kxcyh4t1a,2013-01-07:00:00:00,2013-01-07:05:56:47,2013-05-22:00:00:00,MALE,51.0,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,IE,IT
olrvuw29ll,2013-01-07:00:00:00,2013-01-07:06:04:51,2013-01-10:00:00:00,FEMALE,32.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,FR
d2h948v8c9,2013-01-07:00:00:00,2013-01-07:06:30:16,2013-07-09:00:00:00,FEMALE,27.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,CA
1jhfnwgk50,2013-01-07:00:00:00,2013-01-07:06:39:01,2013-01-16:00:00:00,MALE,40.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,US
xb1nyll5v1,2013-01-07:00:00:00,2013-01-07:06:48:47,2013-01-07:00:00:00,FEMALE,29.0,facebook,0,en,other,other,omg,Web,Windows Desktop,Firefox,other
divfve9psj,2013-01-07:00:00:00,2013-01-07:06:58:26,2013-04-29:00:00:00,MALE,53.0,facebook,0,en,content,facebook,omg,Web,Windows Desktop,Chrome,US
c4w6jm80bo,2013-01-07:00:00:00,2013-01-07:07:02:26,2013-01-22:00:00:00,FEMALE,28.0,facebook,0,en,direct,direct,linked,Web,iPad,Mobile Safari,US
djzvr38y8y,2013-01-07:00:00:00,2013-01-07:07:37:10,2013-01-21:00:00:00,FEMALE,62.0,basic,0,en,direct,direct,linked,Web,Windows Desktop,Firefox,other
d3g0horf55,2013-01-07:00:00:00,2013-01-07:09:35:27,2013-01-09:00:00:00,FEMALE,40.0,facebook,0,en,sem-brand,google,omg,Web,iPad,Mobile Safari,US
ye1py7qbme,2013-01-07:00:00:00,2013-01-07:15:22:51,2013-01-07:00:00:00,MALE,42.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
mwompbpymo,2013-01-07:00:00:00,2013-01-07:17:58:11,2013-07-18:00:00:00,MALE,32.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
hb6arqzko0,2013-01-07:00:00:00,2013-01-07:18:26:39,2013-01-15:00:00:00,MALE,68.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,other
vdbo735w7t,2013-01-07:00:00:00,2013-01-07:18:26:53,2013-01-07:00:00:00,MALE,42.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
pjk87wnwuz,2013-01-07:00:00:00,2013-01-07:19:46:27,2013-04-06:00:00:00,FEMALE,48.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,FR
j28xf5d1wu,2013-01-07:00:00:00,2013-01-07:20:09:29,2013-01-16:00:00:00,MALE,32.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
m3scasnrtg,2013-01-07:00:00:00,2013-01-07:21:13:10,2013-01-10:00:00:00,FEMALE,26.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
7xrki70w9l,2013-01-07:00:00:00,2013-01-07:21:39:11,2013-01-08:00:00:00,FEMALE,37.0,facebook,0,en,direct,direct,tracked-other,Web,Mac Desktop,Firefox,US
3zwe953kgh,2013-01-07:00:00:00,2013-01-07:21:55:37,2013-01-07:00:00:00,FEMALE,19.0,basic,12,en,api,other,linked,iOS,Mac Desktop,Safari,FR
dl90n1ty4m,2013-01-07:00:00:00,2013-01-07:22:24:18,2013-01-11:00:00:00,FEMALE,31.0,basic,0,it,direct,direct,linked,Web,Mac Desktop,Safari,GB
78ved4proc,2013-01-08:00:00:00,2013-01-08:00:13:58,2013-01-20:00:00:00,FEMALE,34.0,facebook,0,en,sem-brand,google,tracked-other,Web,Mac Desktop,Safari,FR
mv57qgkgqj,2013-01-08:00:00:00,2013-01-08:02:18:56,2013-01-08:00:00:00,MALE,21.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
fczz903tol,2013-01-08:00:00:00,2013-01-08:03:45:07,2013-01-10:00:00:00,MALE,52.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,other
9xsegehf6c,2013-01-08:00:00:00,2013-01-08:03:56:30,2013-01-11:00:00:00,MALE,24.0,basic,12,en,api,other,linked,Moweb,Mac Desktop,Chrome,US
edn1ir0m8x,2013-01-08:00:00:00,2013-01-08:05:25:10,2013-01-08:00:00:00,FEMALE,38.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
jfzqyufher,2013-01-08:00:00:00,2013-01-08:06:03:22,2013-01-27:00:00:00,FEMALE,44.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
3w0b9u0jk0,2013-01-08:00:00:00,2013-01-08:06:45:06,2013-01-08:00:00:00,MALE,25.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
dswcsv75rh,2013-01-08:00:00:00,2013-01-08:06:48:27,2013-01-10:00:00:00,FEMALE,31.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Safari,US
kcu9cwmj9l,2013-01-08:00:00:00,2013-01-08:06:59:35,2013-01-08:00:00:00,MALE,36.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
glrbfgu4q9,2013-01-08:00:00:00,2013-01-08:18:33:01,2013-01-09:00:00:00,MALE,33.0,facebook,0,en,direct,direct,linked,Web,Windows Desktop,Chrome,US
tr9cwcvx7h,2013-01-08:00:00:00,2013-01-08:18:51:23,2013-02-05:00:00:00,FEMALE,31.0,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,GB
ryi4k1pzwd,2013-01-08:00:00:00,2013-01-08:21:55:19,2013-01-09:00:00:00,MALE,26.0,basic,12,en,api,other,omg,iOS,Windows Desktop,IE,US
wn1drr1p6w,2013-01-08:00:00:00,2013-01-08:22:30:32,2013-01-16:00:00:00,FEMALE,34.0,facebook,0,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,DE
9xppodh7fp,2013-01-08:00:00:00,2013-01-08:22:36:31,2013-05-19:00:00:00,MALE,28.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
jhl98zewl3,2013-01-08:00:00:00,2013-01-08:22:48:26,2013-01-09:00:00:00,FEMALE,27.0,basic,0,en,direct,direct,linked,Web,iPad,Mobile Safari,AU
1bf7kma836,2013-01-08:00:00:00,2013-01-08:23:10:07,2013-10-08:00:00:00,MALE,37.0,basic,12,en,api,other,linked,Moweb,Mac Desktop,Firefox,US
pvx8d94lfq,2013-01-09:00:00:00,2013-01-09:00:38:14,2013-01-09:00:00:00,MALE,29.0,facebook,0,en,direct,direct,linked,Web,Desktop (Other),Firefox,US
u11sw4z1c3,2013-01-09:00:00:00,2013-01-09:01:21:34,2013-10-28:00:00:00,MALE,39.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US
1mquzw4f7s,2013-01-09:00:00:00,2013-01-09:04:58:51,2013-02-21:00:00:00,FEMALE,30.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Chrome,US
f1xyj0ci2d,2013-01-09:00:00:00,2013-01-09:05:04:01,2013-01-10:00:00:00,FEMALE,33.0,facebook,0,en,other,other,linked,Web,Mac Desktop,Chrome,US
r55ixy6vyk,2013-01-09:00:00:00,2013-01-09:07:22:33,2013-03-10:00:00:00,MALE,27.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Chrome,US
dwgumguav0,2013-01-09:00:00:00,2013-01-09:07:27:24,2013-01-09:00:00:00,MALE,64.0,facebook,0,en,sem-brand,google,linked,Web,Windows Desktop,Firefox,US
iczq7m980p,2013-01-09:00:00:00,2013-01-09:08:15:17,2013-04-11:00:00:00,FEMALE,30.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,FR
esrsa0fjzy,2013-01-09:00:00:00,2013-01-09:08:19:20,2013-01-10:00:00:00,FEMALE,36.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US
m61vmtt8mj,2013-01-09:00:00:00,2013-01-09:13:57:46,2013-01-12:00:00:00,FEMALE,28.0,basic,0,en,sem-brand,google,omg,Web,Windows Desktop,Firefox,GB
wdbxx1mh1s,2013-01-09:00:00:00,2013-01-09:14:22:06,2013-01-10:00:00:00,MALE,24.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,US
w9jlvo6opw,2013-06-11:00:00:00,2013-01-09:14:39:48,2013-06-13:00:00:00,MALE,38.0,facebook,0,en,direct,direct,linked,Web,Mac Desktop,Safari,GB
flsqow5xzw,2013-01-09:00:00:00,2013-01-09:14:41:01,2013-05-14:00:00:00,MALE,46.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Firefox,other
oe4k4830va,2013-01-09:00:00:00,2013-01-09:17:08:30,2013-01-11:00:00:00,FEMALE,36.0,basic,0,en,direct,direct,linked,Web,Mac Desktop,Safari,US
a8qr2p1q27,2013-01-09:00:00:00,2013-01-09:19:08:13,2013-10-17:00:00:00,FEMALE,56.0,facebook,0,en,sem-non-brand,google,linked,Web,Windows Desktop,Firefox,GB
spit95qy29,2013-01-09:00:00:00,2013-01-09:19:08:16,2013-01-10:00:00:00,FEMALE,37.0,facebook,0,en,sem-brand,google,omg,Web,Mac Desktop,Firefox,US
